run_label,context_id,n,avg_reward,pos_rate,action1_rate,mean_p_action1,wait_share,engage_share
PLR_UED,,2,,0.0,0.0,0.0010426923399790501,0.0,0.0
PLR_UED,B|gt_mean=90,198,0.5353535353535354,0.5353535353535354,0.06565656565656566,0.046638814977326734,0.9545454545454546,0.045454545454545456
PPO,B|gt_mean=90,199,0.5025125628140703,0.5025125628140703,0.005025125628140704,,0.9949748743718593,0.005025125628140704
PPO_NEW_v3,B|gt_mean=90,200,0.505,0.505,0.01,,0.985,0.015
PPO_NEW_v3_1,B|gt_mean=90,199,0.5025125628140703,0.5025125628140703,0.010050251256281407,,0.9849246231155779,0.01507537688442211
