run_label,phase_label,n,avg_reward,pos_rate,action1_rate,mean_p_action1,wait_share,engage_share
PLR_UED,B,200,0.5353535353535354,0.53,0.065,0.0461711624374565,0.945,0.045
PPO,B,199,0.5025125628140703,0.5025125628140703,0.005025125628140704,,0.9949748743718593,0.005025125628140704
PPO_NEW_v3,B,200,0.505,0.505,0.01,,0.985,0.015
PPO_NEW_v3_1,B,199,0.5025125628140703,0.5025125628140703,0.010050251256281407,,0.9849246231155779,0.01507537688442211
