run_label,action,n,avg_reward,pos_rate,action1_rate,mean_p_action1,wait_share,engage_share
PLR_UED,0,187,0.5081081081081081,0.5026737967914439,0.0,0.0067954416853716225,0.9893048128342246,0.0
PLR_UED,1,13,0.9230769230769231,0.9230769230769231,1.0,0.6466509039067508,0.3076923076923077,0.6923076923076923
PPO,0,198,0.5,0.5,0.0,,1.0,0.0
PPO,1,1,1.0,1.0,1.0,,0.0,1.0
PPO_NEW_v3,0,198,0.5,0.5,0.0,,0.9949494949494949,0.005050505050505051
PPO_NEW_v3,1,2,1.0,1.0,1.0,,0.0,1.0
PPO_NEW_v3_1,0,197,0.49746192893401014,0.49746192893401014,0.0,,0.9949238578680203,0.005076142131979695
PPO_NEW_v3_1,1,2,1.0,1.0,1.0,,0.0,1.0
