ts,phase,stage,uncertainty_index,request,vehicle,table_number,table_id,dynamic_t_begin,duration_type,gt_mean,phase_label,oracle_ctx_mode,delay_tolerance,severity,passed_terminals,current_time,action,reward,action_meaning,feasible,source,p_action1,algo,regime_id,context_id,drift_score,belief_smooth_penalty,value_residual,delta_t,policy_kl,action_prob,entropy,bootstrap,trust_region_scaled,trust_region_scale,gate_prob_0_mean,gate_prob_1_mean,gate_entropy_mean,expert0_action1_prob_mean,expert1_action1_prob_mean,expert_selected_ratio,moe_div_mean,pdi_future_mean,pdi_pref_mean,pdi_hard_mean,pdi_fail0_mean,pdi_fail1_mean,stage_family,matched,run_label,run_dir,distribution,seed,algorithm,algo_version,reward_pos,action1,action0,semantic_action,wait_like,engage_like,ts_decision,ts_reward,run_id,decision_seq,decision_id,stage_mode,pair_index,impl_stream,impl_list_idx,h_index,severity_bucket
1771782220.7120063,implement,receive_reward,0,3000000000019,114,971,971,1,mix_mu_5_40_terminal_dependent,90,B,none,130.0,6.0,"""[8.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",1,0,1.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,1,0,1,wait,1,0,,,,,,,,,,,high(6+)
1771782506.8433084,implement,receive_reward,1,3000000000000,11,966,966,85,mix_mu_5_40_terminal_dependent,90,B,none,71.0,5.0,"""[3, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",85,0,0.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,0,0,1,wait,1,0,,,,,,,,,,,mid(4-5)
1771782627.361239,implement,receive_reward,0,3000000000016,82,964,964,4,mix_mu_5_40_terminal_dependent,90,B,none,72.5,2.0,"""[1.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",4,0,0.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,0,0,1,wait,1,0,,,,,,,,,,,low(2-3)
1771782627.592377,implement,receive_reward,0,3000000000023,92,964,964,4,mix_mu_5_40_terminal_dependent,90,B,none,52.8,2.0,"""[1.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",4,0,0.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,0,0,1,wait,1,0,,,,,,,,,,,low(2-3)
1771782630.3865864,implement,receive_reward,0,3000000000005,26,961,961,1,mix_mu_5_40_terminal_dependent,90,B,none,117.5,4.0,"""[5, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",1,0,1.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,1,0,1,wait,1,0,,,,,,,,,,,mid(4-5)
1771782884.7750297,implement,receive_reward,1,3000000000024,100,956,956,82,mix_mu_5_40_terminal_dependent,90,B,none,62.0,6.0,"""[4.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",82,0,0.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,0,0,1,wait,1,0,,,,,,,,,,,high(6+)
1771782884.9854162,implement,receive_reward,1,3000000000006,109,956,956,82,mix_mu_5_40_terminal_dependent,90,B,none,58.19999999999999,6.0,"""[4.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",82,0,0.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,0,0,1,wait,1,0,,,,,,,,,,,high(6+)
1771782885.250873,implement,receive_reward,1,3000000000029,111,956,956,82,mix_mu_5_40_terminal_dependent,90,B,none,76.5,6.0,"""[4.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",82,0,0.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,0,0,1,wait,1,0,,,,,,,,,,,high(6+)
1771782922.0578556,implement,receive_reward,0,3000000000024,100,955,955,3,mix_mu_5_40_terminal_dependent,90,B,none,141.0,6.0,"""[4.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",3,0,1.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,1,0,1,wait,1,0,,,,,,,,,,,high(6+)
1771782922.3019571,implement,receive_reward,0,3000000000006,109,955,955,3,mix_mu_5_40_terminal_dependent,90,B,none,137.2,6.0,"""[4.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",3,0,1.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,1,0,1,wait,1,0,,,,,,,,,,,high(6+)
