run_label,impl_trace_n,summary_reward_count,trace_removal_remove,summary_removal_action,trace_removal_wait,summary_removal_wait_action,trace_insertion_insert,summary_insertion_action,trace_insertion_non,summary_insertion_non_action
PPO,199,200,1,1,198,199,0,0,0,0
PPO_NEW_v3,200,200,2,2,197,197,1,1,0,0
PPO_NEW_v3_1,199,200,2,2,196,197,1,1,0,0
PLR_UED,200,200,9,9,185,187,0,0,4,4
