ts,phase,stage,uncertainty_index,request,vehicle,table_number,dynamic_t_begin,duration_type,delay_tolerance,severity,passed_terminals,current_time,action,reward,feasible,source
1765858386.7655022,implement,send_action,0,3000000000002,6,488,4,mix_mu_5_40_terminal_dependent,57.0,2,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",4,0,-10000000,,RL
1765858386.766856,implement,begin_removal,0,3000000000003,8,488,4,mix_mu_5_40_terminal_dependent,86.0,2,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",4,-10000000,-10000000,,ALNS
1765858386.8254364,implement,begin_removal,0,3000000000000,27,488,4,mix_mu_5_40_terminal_dependent,93.0,2,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",4,-10000000,-10000000,,ALNS
1765858386.9013295,implement,send_action,0,3000000000000,27,488,4,mix_mu_5_40_terminal_dependent,93.0,2,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",4,0,-10000000,,RL
1765858506.3130815,implement,begin_removal,0,3000000000004,92,476,1,mix_mu_5_40_terminal_dependent,189.8,2,"[1.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,-10000000,-10000000,,ALNS
1765858506.361462,implement,send_action,0,3000000000004,92,476,1,mix_mu_5_40_terminal_dependent,189.8,5,"[1.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,0,-10000000,,RL
1765858516.148711,implement,begin_removal,1,3000000000004,92,475,75,mix_mu_5_40_terminal_dependent,117.0,5,"[3.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",75,-10000000,-10000000,,ALNS
1765858516.2042885,implement,send_action,1,3000000000004,92,475,75,mix_mu_5_40_terminal_dependent,117.0,1,"[3.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",75,0,-10000000,,RL
1765858516.2062857,implement,begin_removal,1,3000000000001,99,475,75,mix_mu_5_40_terminal_dependent,89.0,1,"[3.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",75,-10000000,-10000000,,ALNS
1765858516.2630777,implement,send_action,1,3000000000001,99,475,75,mix_mu_5_40_terminal_dependent,89.0,1,"[3.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",75,0,-10000000,,RL
1765858539.1098788,implement,begin_removal,2,3000000000003,8,473,64,mix_mu_5_40_terminal_dependent,32.0,1,"[3, -1, -1, -1, -1, -1, -1, -1, -1, -1]",64,-10000000,-10000000,,ALNS
1765858539.162043,implement,send_action,2,3000000000003,8,473,64,mix_mu_5_40_terminal_dependent,32.0,5,"[3, -1, -1, -1, -1, -1, -1, -1, -1, -1]",64,0,-10000000,,RL
1765858554.480017,implement,begin_removal,4,3000000000001,99,472,93,mix_mu_5_40_terminal_dependent,70.4,5,"[2.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",93,-10000000,-10000000,,ALNS
1765858554.5286775,implement,send_action,4,3000000000001,99,472,93,mix_mu_5_40_terminal_dependent,70.4,4,"[2.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",93,0,-10000000,,RL
1765858596.6929476,implement,begin_removal,0,3000000000001,99,468,2,mix_mu_5_40_terminal_dependent,161.4,4,"[2.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",2,-10000000,-10000000,,ALNS
1765858596.7428803,implement,send_action,0,3000000000001,99,468,2,mix_mu_5_40_terminal_dependent,161.4,5,"[2.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",2,0,-10000000,,RL
1765858605.4001696,implement,begin_removal,1,3000000000001,99,467,87,mix_mu_5_40_terminal_dependent,76.4,5,"[2.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",87,-10000000,-10000000,,ALNS
1765858605.4603002,implement,send_action,1,3000000000001,99,467,87,mix_mu_5_40_terminal_dependent,76.4,3,"[2.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",87,0,-10000000,,RL
1765858659.5025501,implement,begin_removal,0,3000000000004,92,461,1,mix_mu_5_40_terminal_dependent,189.8,3,"[1.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,-10000000,-10000000,,ALNS
1765858659.5515213,implement,send_action,0,3000000000004,92,461,1,mix_mu_5_40_terminal_dependent,189.8,4,"[1.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,0,-10000000,,RL
1765858678.8936396,implement,begin_removal,1,3000000000001,99,459,99,mix_mu_5_40_terminal_dependent,64.4,4,"[2.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",99,-10000000,-10000000,,ALNS
1765858678.9406261,implement,send_action,1,3000000000001,99,459,99,mix_mu_5_40_terminal_dependent,64.4,3,"[2.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",99,0,-10000000,,RL
1765858722.8365924,implement,begin_removal,1,3000000000001,99,454,83,mix_mu_5_40_terminal_dependent,80.4,3,"[2.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",83,-10000000,-10000000,,ALNS
1765858722.8944178,implement,send_action,1,3000000000001,99,454,83,mix_mu_5_40_terminal_dependent,80.4,3,"[2.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",83,0,-10000000,,RL
1765858756.9282038,implement,begin_removal,1,3000000000002,6,450,24,mix_mu_5_40_terminal_dependent,43.0,3,"[3, -1, -1, -1, -1, -1, -1, -1, -1, -1]",24,-10000000,-10000000,,ALNS
1765858756.9782796,implement,begin_removal,1,3000000000003,8,450,24,mix_mu_5_40_terminal_dependent,72.0,3,"[3, -1, -1, -1, -1, -1, -1, -1, -1, -1]",24,-10000000,-10000000,,ALNS
1765858757.2373006,implement,send_action,1,3000000000003,8,450,24,mix_mu_5_40_terminal_dependent,72.0,3,"[3, -1, -1, -1, -1, -1, -1, -1, -1, -1]",24,0,-10000000,,RL
1765858764.8357272,implement,begin_removal,0,3000000000002,6,449,2,mix_mu_5_40_terminal_dependent,59.0,3,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",2,-10000000,-10000000,,ALNS
1765858764.8883705,implement,send_action,0,3000000000002,6,449,2,mix_mu_5_40_terminal_dependent,59.0,5,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",2,0,-10000000,,RL
1765858764.8903718,implement,begin_removal,0,3000000000003,8,449,2,mix_mu_5_40_terminal_dependent,88.0,5,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",2,-10000000,-10000000,,ALNS
1765858764.9469404,implement,begin_removal,0,3000000000000,27,449,2,mix_mu_5_40_terminal_dependent,95.0,5,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",2,-10000000,-10000000,,ALNS
1765858765.0251973,implement,send_action,0,3000000000000,27,449,2,mix_mu_5_40_terminal_dependent,95.0,5,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",2,0,-10000000,,RL
1765858783.8743804,implement,begin_removal,1,3000000000002,6,447,34,mix_mu_5_40_terminal_dependent,33.0,5,"[3, -1, -1, -1, -1, -1, -1, -1, -1, -1]",34,-10000000,-10000000,,ALNS
1765858783.9264493,implement,send_action,1,3000000000002,6,447,34,mix_mu_5_40_terminal_dependent,33.0,5,"[3, -1, -1, -1, -1, -1, -1, -1, -1, -1]",34,0,-10000000,,RL
1765858783.9284508,implement,begin_removal,1,3000000000003,8,447,34,mix_mu_5_40_terminal_dependent,62.0,5,"[3, -1, -1, -1, -1, -1, -1, -1, -1, -1]",34,-10000000,-10000000,,ALNS
1765858783.978995,implement,send_action,1,3000000000003,8,447,34,mix_mu_5_40_terminal_dependent,62.0,5,"[3, -1, -1, -1, -1, -1, -1, -1, -1, -1]",34,0,-10000000,,RL
1765858817.3017447,implement,begin_removal,0,3000000000001,99,443,4,mix_mu_5_40_terminal_dependent,159.4,5,"[2.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",4,-10000000,-10000000,,ALNS
1765858817.349911,implement,send_action,0,3000000000001,99,443,4,mix_mu_5_40_terminal_dependent,159.4,3,"[2.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",4,0,-10000000,,RL
1765858819.1195614,implement,begin_removal,1,3000000000004,92,443,59,mix_mu_5_40_terminal_dependent,133.0,3,"[3.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",59,-10000000,-10000000,,ALNS
1765858819.1663105,implement,send_action,1,3000000000004,92,443,59,mix_mu_5_40_terminal_dependent,133.0,2,"[3.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",59,0,-10000000,,RL
1765858819.1687868,implement,begin_removal,1,3000000000001,99,443,59,mix_mu_5_40_terminal_dependent,105.0,2,"[3.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",59,-10000000,-10000000,,ALNS
1765858819.2201993,implement,send_action,1,3000000000001,99,443,59,mix_mu_5_40_terminal_dependent,105.0,2,"[3.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",59,0,-10000000,,RL
1765858837.6545677,implement,begin_removal,0,3000000000002,6,441,3,mix_mu_5_40_terminal_dependent,58.0,2,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",3,-10000000,-10000000,,ALNS
1765858837.7007077,implement,send_action,0,3000000000002,6,441,3,mix_mu_5_40_terminal_dependent,58.0,3,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",3,0,-10000000,,RL
1765858837.702737,implement,begin_removal,0,3000000000003,8,441,3,mix_mu_5_40_terminal_dependent,87.0,3,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",3,-10000000,-10000000,,ALNS
1765858837.7871926,implement,begin_removal,0,3000000000000,27,441,3,mix_mu_5_40_terminal_dependent,94.0,3,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",3,-10000000,-10000000,,ALNS
1765858837.8570914,implement,send_action,0,3000000000000,27,441,3,mix_mu_5_40_terminal_dependent,94.0,3,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",3,0,-10000000,,RL
1765858839.450678,implement,begin_removal,1,3000000000004,92,441,49,mix_mu_5_40_terminal_dependent,143.0,3,"[3.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",49,-10000000,-10000000,,ALNS
1765858839.5012746,implement,send_action,1,3000000000004,92,441,49,mix_mu_5_40_terminal_dependent,143.0,2,"[3.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",49,0,-10000000,,RL
1765858839.503847,implement,begin_removal,1,3000000000001,99,441,49,mix_mu_5_40_terminal_dependent,115.0,2,"[3.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",49,-10000000,-10000000,,ALNS
1765858839.555089,implement,send_action,1,3000000000001,99,441,49,mix_mu_5_40_terminal_dependent,115.0,2,"[3.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",49,0,-10000000,,RL
1765858858.189429,implement,begin_removal,2,3000000000001,99,439,81,mix_mu_5_40_terminal_dependent,82.4,2,"[2.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",81,-10000000,-10000000,,ALNS
1765858858.242756,implement,send_action,2,3000000000001,99,439,81,mix_mu_5_40_terminal_dependent,82.4,1,"[2.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",81,0,-10000000,,RL
1765858867.572209,implement,begin_removal,1,3000000000002,6,438,17,mix_mu_5_40_terminal_dependent,50.0,1,"[3, -1, -1, -1, -1, -1, -1, -1, -1, -1]",17,-10000000,-10000000,,ALNS
1765858867.6215057,implement,send_action,1,3000000000002,6,438,17,mix_mu_5_40_terminal_dependent,50.0,4,"[3, -1, -1, -1, -1, -1, -1, -1, -1, -1]",17,0,-10000000,,RL
1765858867.6227984,implement,begin_removal,1,3000000000003,8,438,17,mix_mu_5_40_terminal_dependent,79.0,4,"[3, -1, -1, -1, -1, -1, -1, -1, -1, -1]",17,-10000000,-10000000,,ALNS
1765858867.7051044,implement,send_action,1,3000000000003,8,438,17,mix_mu_5_40_terminal_dependent,79.0,4,"[3, -1, -1, -1, -1, -1, -1, -1, -1, -1]",17,0,-10000000,,RL
1765858875.4463956,implement,begin_removal,0,3000000000004,92,437,4,mix_mu_5_40_terminal_dependent,188.0,4,"[3.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",4,-10000000,-10000000,,ALNS
1765858875.4997733,implement,begin_removal,0,3000000000001,99,437,4,mix_mu_5_40_terminal_dependent,160.0,4,"[3.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",4,-10000000,-10000000,,ALNS
1765858875.5775573,implement,send_action,0,3000000000001,99,437,4,mix_mu_5_40_terminal_dependent,160.0,4,"[3.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",4,0,-10000000,,RL
1765858933.264368,implement,begin_removal,0,3000000000004,92,431,2,mix_mu_5_40_terminal_dependent,190.0,4,"[3.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",2,-10000000,-10000000,,ALNS
1765858933.3151166,implement,send_action,0,3000000000004,92,431,2,mix_mu_5_40_terminal_dependent,190.0,1,"[3.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",2,0,-10000000,,RL
1765858933.3161361,implement,begin_removal,0,3000000000001,99,431,2,mix_mu_5_40_terminal_dependent,162.0,1,"[3.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",2,-10000000,-10000000,,ALNS
1765858933.4067397,implement,send_action,0,3000000000001,99,431,2,mix_mu_5_40_terminal_dependent,162.0,1,"[3.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",2,0,-10000000,,RL
1765858962.0039997,implement,begin_removal,2,3000000000001,99,428,70,mix_mu_5_40_terminal_dependent,93.4,1,"[2.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",70,-10000000,-10000000,,ALNS
1765858962.0537393,implement,send_action,2,3000000000001,99,428,70,mix_mu_5_40_terminal_dependent,93.4,1,"[2.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",70,0,-10000000,,RL
1765858971.9426324,implement,begin_removal,2,3000000000003,8,427,68,mix_mu_5_40_terminal_dependent,28.0,1,"[3, -1, -1, -1, -1, -1, -1, -1, -1, -1]",68,-10000000,-10000000,,ALNS
1765858971.9873476,implement,send_action,2,3000000000003,8,427,68,mix_mu_5_40_terminal_dependent,28.0,4,"[3, -1, -1, -1, -1, -1, -1, -1, -1, -1]",68,0,-10000000,,RL
1765859028.9302928,implement,begin_removal,1,3000000000002,6,421,25,mix_mu_5_40_terminal_dependent,36.0,4,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",25,-10000000,-10000000,,ALNS
1765859028.9826586,implement,send_action,1,3000000000002,6,421,25,mix_mu_5_40_terminal_dependent,36.0,4,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",25,0,-10000000,,RL
1765859028.9839575,implement,begin_removal,1,3000000000003,8,421,25,mix_mu_5_40_terminal_dependent,65.0,4,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",25,-10000000,-10000000,,ALNS
1765859029.059391,implement,send_action,1,3000000000003,8,421,25,mix_mu_5_40_terminal_dependent,65.0,4,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",25,0,-10000000,,RL
1765859029.062035,implement,begin_removal,1,3000000000000,27,421,25,mix_mu_5_40_terminal_dependent,72.0,4,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",25,-10000000,-10000000,,ALNS
1765859029.120789,implement,send_action,1,3000000000000,27,421,25,mix_mu_5_40_terminal_dependent,72.0,4,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",25,0,-10000000,,RL
1765859035.2793705,implement,begin_removal,0,3000000000004,92,420,4,mix_mu_5_40_terminal_dependent,186.8,4,"[1.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",4,-10000000,-10000000,,ALNS
1765859035.323879,implement,send_action,0,3000000000004,92,420,4,mix_mu_5_40_terminal_dependent,186.8,1,"[1.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",4,0,-10000000,,RL
1765859085.9394996,implement,begin_removal,0,3000000000000,27,415,4,mix_mu_5_40_terminal_dependent,105.0,1,"[6, -1, -1, -1, -1, -1, -1, -1, -1, -1]",4,-10000000,-10000000,,ALNS
1765859085.991766,implement,send_action,0,3000000000000,27,415,4,mix_mu_5_40_terminal_dependent,105.0,5,"[6, -1, -1, -1, -1, -1, -1, -1, -1, -1]",4,0,-10000000,,RL
1765859106.4496818,implement,begin_removal,1,3000000000002,6,413,19,mix_mu_5_40_terminal_dependent,42.0,5,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",19,-10000000,-10000000,,ALNS
1765859106.5127604,implement,send_action,1,3000000000002,6,413,19,mix_mu_5_40_terminal_dependent,42.0,4,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",19,0,-10000000,,RL
1765859106.5151331,implement,begin_removal,1,3000000000003,8,413,19,mix_mu_5_40_terminal_dependent,71.0,4,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",19,-10000000,-10000000,,ALNS
1765859106.5750256,implement,send_action,1,3000000000003,8,413,19,mix_mu_5_40_terminal_dependent,71.0,4,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",19,1,-10000000,,RL
1765859106.8257513,implement,send_action,1,3000000000003,8,413,19,mix_mu_5_40_terminal_dependent,71.0,4,"[0, 3, -1, -1, -1, -1, -1, -1, -1, -1]",19,0,-10000000,,RL
1765859106.8950129,implement,send_action,1,3000000000003,9,413,19,mix_mu_5_40_terminal_dependent,71.0,4,"[0, 3, -1, -1, -1, -1, -1, -1, -1, -1]",19,0,-10000000,,RL
1765859107.0129595,implement,begin_removal,1,3000000000000,27,413,19,mix_mu_5_40_terminal_dependent,78.0,4,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",19,-10000000,-10000000,,ALNS
1765859107.0651433,implement,send_action,1,3000000000000,27,413,19,mix_mu_5_40_terminal_dependent,78.0,4,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",19,0,-10000000,,RL
1765859116.8260522,implement,begin_removal,1,3000000000001,99,412,104,mix_mu_5_40_terminal_dependent,59.400000000000006,4,"[2.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",104,-10000000,-10000000,,ALNS
1765859116.8762002,implement,send_action,1,3000000000001,99,412,104,mix_mu_5_40_terminal_dependent,59.400000000000006,2,"[2.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",104,0,-10000000,,RL
1765859132.9217727,implement,begin_removal,1,3000000000004,92,410,74,mix_mu_5_40_terminal_dependent,116.8,2,"[1.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",74,-10000000,-10000000,,ALNS
1765859132.9733658,implement,send_action,1,3000000000004,92,410,74,mix_mu_5_40_terminal_dependent,116.8,5,"[1.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",74,0,-10000000,,RL
1765859150.2852802,implement,begin_removal,0,3000000000000,27,408,4,mix_mu_5_40_terminal_dependent,105.0,5,"[6, -1, -1, -1, -1, -1, -1, -1, -1, -1]",4,-10000000,-10000000,,ALNS
1765859150.329465,implement,send_action,0,3000000000000,27,408,4,mix_mu_5_40_terminal_dependent,105.0,3,"[6, -1, -1, -1, -1, -1, -1, -1, -1, -1]",4,0,-10000000,,RL
1765859167.384619,implement,begin_removal,2,3000000000001,99,407,106,mix_mu_5_40_terminal_dependent,57.400000000000006,3,"[2.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",106,-10000000,-10000000,,ALNS
1765859167.4510934,implement,send_action,2,3000000000001,99,407,106,mix_mu_5_40_terminal_dependent,57.400000000000006,5,"[2.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",106,0,-10000000,,RL
1765859175.1445036,implement,begin_removal,2,3000000000004,92,406,89,mix_mu_5_40_terminal_dependent,103.0,5,"[3.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",89,-10000000,-10000000,,ALNS
1765859175.1980796,implement,send_action,2,3000000000004,92,406,89,mix_mu_5_40_terminal_dependent,103.0,4,"[3.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",89,0,-10000000,,RL
1765859175.2005785,implement,begin_removal,2,3000000000001,99,406,89,mix_mu_5_40_terminal_dependent,75.0,4,"[3.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",89,-10000000,-10000000,,ALNS
1765859175.2498734,implement,send_action,2,3000000000001,99,406,89,mix_mu_5_40_terminal_dependent,75.0,4,"[3.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",89,0,-10000000,,RL
1765859249.3826547,implement,begin_removal,1,3000000000004,92,398,35,mix_mu_5_40_terminal_dependent,155.8,4,"[1.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",35,-10000000,-10000000,,ALNS
1765859249.4368,implement,send_action,1,3000000000004,92,398,35,mix_mu_5_40_terminal_dependent,155.8,4,"[1.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",35,0,-10000000,,RL
