run_label,severity,n,avg_reward,pos_rate,action1_rate,mean_p_action1,wait_share,engage_share
run_20260305_092522_718106_R30_O_10_90_PPO_S42,2.0,2,0.5,0.5,0.0,0.00489210151135915,1.0,0.0
run_20260305_092522_718106_R30_O_10_90_PPO_S42,3.0,24,0.4166666666666667,0.4166666666666667,0.0,0.005028123268857551,1.0,0.0
run_20260305_092522_718106_R30_O_10_90_PPO_S42,4.0,39,0.6153846153846154,0.6153846153846154,0.0,0.004906450338566097,1.0,0.0
run_20260305_092522_718106_R30_O_10_90_PPO_S42,5.0,59,0.5932203389830508,0.5932203389830508,0.0,0.004921783251559372,1.0,0.0
run_20260305_092522_718106_R30_O_10_90_PPO_S42,6.0,75,0.4266666666666667,0.4266666666666667,0.013333333333333334,0.004929819417496471,0.9866666666666667,0.013333333333333334
run_20260305_092522_718106_R30_O_10_90_PPO_S42,,31,0.48148148148148145,0.41935483870967744,0.0,0.00490380201178287,0.8709677419354839,0.0
