run_label,stage_family,n,avg_reward,pos_rate,action1_rate,mean_p_action1,wait_share,engage_share
run_20260305_092522_718106_R30_O_10_90_PPO_S42,removal,226,0.5088495575221239,0.5088495575221239,0.004424778761061947,0.004930720329866691,0.995575221238938,0.004424778761061947
run_20260305_092522_718106_R30_O_10_90_PPO_S42,unknown,4,,0.0,0.0,0.004910829011350825,0.0,0.0
