branch_id,branch_root,post_stage,candidate_checkpoint,candidate_rank,candidate_completed_train_tables,subprocess_exit_code,status,compare_metric,compare_metric_value,phase,iter_id,objective_score,selected_ckpt,selected_ckpt_source,selected_policy
main,a:\MYpython\34959_RL\codes\analysis\outputs\actor_rollback_smoke_v2\run_main,a:\MYpython\34959_RL\codes\analysis\outputs\actor_rollback_smoke_v2\run_main\post_stage,,,,0,ok,action1_rate,0.0,phase3,10,0.4,A:\MYpython\34959_RL\codes\analysis\outputs\actor_rollback_smoke_v2\run_main\post_stage\checkpoints\theta_iter010.zip,outer_train_round.csv,latest_phase3
actor_rollback,A:\MYpython\34959_RL\codes\analysis\outputs\actor_rollback_smoke_v2\run_main\actor_rollback\session_1700000003\branch,A:\MYpython\34959_RL\codes\analysis\outputs\actor_rollback_smoke_v2\run_main\actor_rollback\session_1700000003\branch\post_stage,A:\MYpython\34959_RL\codes\analysis\outputs\actor_rollback_smoke_v2\run_main\post_stage\checkpoints\theta_phase1_t0009_n0010.zip,,,0,ok,action1_rate,0.05,phase3,1,0.6,A:\MYpython\34959_RL\codes\analysis\outputs\actor_rollback_smoke_v2\run_main\actor_rollback\session_1700000003\branch\post_stage\checkpoints\theta_iter001.zip,outer_train_round.csv,latest_phase3
