checkpoint_path,status,subprocess_status,avg_reward,hard_action1_rate,mean_p_action1,phase_rows
A:\MYpython\34959_RL\codes\analysis\outputs\phase1_hist_helper_smoke_fix\run_smoke\post_stage\checkpoints\phase1_history\theta_phase1_t0001_n0002.zip,ok,existing,0.72,0.15,0.18,200
A:\MYpython\34959_RL\codes\analysis\outputs\phase1_hist_helper_smoke_fix\run_smoke\post_stage\checkpoints\theta_phase1.zip,ok,existing,0.81,0.02,0.05,200
