w_q,w_h,w_c,w_e,w_i,spearman_avg_reward,spearman_q_hard,spearman_r_hard,plr_score_mean,ppo_score_mean,ppo_new_score_mean,plr_beats_ppo,plr_beats_ppo_new,priority_score
0.24,0.22,0.14,0.05,0.0,0.632455532033676,1.0,0.9486832980505139,0.15833333333333333,0.12554700854700854,0.13723793490460157,1,1,5.316227766016838
0.24,0.22,0.14,0.05,0.03,0.632455532033676,1.0,0.9486832980505139,0.18833333333333332,0.12554700854700854,0.14723793490460158,1,1,5.316227766016838
0.24,0.22,0.14,0.05,0.05,0.632455532033676,1.0,0.9486832980505139,0.20833333333333331,0.12554700854700854,0.15390460157126823,1,1,5.316227766016838
0.24,0.22,0.14,0.05,0.08,0.632455532033676,1.0,0.9486832980505139,0.23833333333333334,0.12554700854700854,0.16390460157126824,1,1,5.316227766016838
0.28,0.18,0.14,0.05,0.0,0.632455532033676,1.0,0.9486832980505139,0.17462962962962963,0.14184330484330485,0.1535791245791246,1,1,5.316227766016838
0.28,0.18,0.14,0.05,0.03,0.632455532033676,1.0,0.9486832980505139,0.20462962962962963,0.14184330484330485,0.1635791245791246,1,1,5.316227766016838
0.28,0.18,0.14,0.05,0.05,0.632455532033676,1.0,0.9486832980505139,0.22462962962962962,0.14184330484330485,0.17024579124579123,1,1,5.316227766016838
0.28,0.18,0.14,0.05,0.08,0.632455532033676,1.0,0.9486832980505139,0.25462962962962965,0.14184330484330485,0.18024579124579124,1,1,5.316227766016838
0.28,0.22,0.14,0.05,0.0,0.632455532033676,1.0,0.9486832980505139,0.17700000000000002,0.14184330484330485,0.1545712682379349,1,1,5.316227766016838
0.28,0.22,0.14,0.05,0.03,0.632455532033676,1.0,0.9486832980505139,0.20700000000000002,0.14184330484330485,0.16457126823793491,1,1,5.316227766016838
0.28,0.22,0.14,0.05,0.05,0.632455532033676,1.0,0.9486832980505139,0.22700000000000004,0.14184330484330485,0.1712379349046016,1,1,5.316227766016838
0.28,0.22,0.14,0.05,0.08,0.632455532033676,1.0,0.9486832980505139,0.257,0.14184330484330485,0.1812379349046016,1,1,5.316227766016838
0.32,0.18,0.14,0.05,0.0,0.632455532033676,1.0,0.9486832980505139,0.1932962962962963,0.15813960113960113,0.17091245791245793,1,1,5.316227766016838
0.32,0.18,0.14,0.05,0.03,0.632455532033676,1.0,0.9486832980505139,0.2232962962962963,0.15813960113960113,0.18091245791245794,1,1,5.316227766016838
0.32,0.18,0.14,0.05,0.05,0.632455532033676,1.0,0.9486832980505139,0.2432962962962963,0.15813960113960113,0.1875791245791246,1,1,5.316227766016838
0.32,0.18,0.14,0.05,0.08,0.632455532033676,1.0,0.9486832980505139,0.2732962962962963,0.15813960113960113,0.1975791245791246,1,1,5.316227766016838
