ts,run_dir,run_name,distribution,algorithm,algo_version,seed,stage_mode,table_number,completed_train_tables,checkpoint_name,checkpoint_path,trigger
1772891484.1951623,a:\MYpython\34959_RL\codes\analysis\outputs\phase1_hist_helper_smoke\run_smoke,run_smoke,,DQN,v3,42,train_only,1,2,theta_phase1_t0001_n0002.zip,A:\MYpython\34959_RL\codes\analysis\outputs\phase1_hist_helper_smoke\run_smoke\post_stage\checkpoints\phase1_history\theta_phase1_t0001_n0002.zip,periodic_train_table
1772891484.1971664,a:\MYpython\34959_RL\codes\analysis\outputs\phase1_hist_helper_smoke\run_smoke,run_smoke,,DQN,v3,42,train_only,1,2,theta_phase1.zip,A:\MYpython\34959_RL\codes\analysis\outputs\phase1_hist_helper_smoke\run_smoke\post_stage\checkpoints\theta_phase1.zip,final_save_model_path
